resume_tools,jd_tools,label
"NodeJS, Power BI, Redis, FastAPI, Tableau, Kafka","GitHub, MongoDB, Cypress, Power BI, Kubernetes, Angular",0.18381152346730234
"Angular, Django, Cypress, Linux, Bash, PyTorch, Flask, RabbitMQ","MongoDB, ReactJS, Terraform, Spring Boot, Tableau, Selenium, Linux, Docker",0.09111707652704071
"Figma, Spring Boot, MongoDB, Canva","Tableau, ReactJS, AWS, Cypress, Redis, Azure",0.30940586818175186
"Ansible, Git, Illustrator, MongoDB","Jenkins, Photoshop, Docker, AWS, Spring Boot",0.0
"Selenium, Ansible, Terraform, MongoDB","FastAPI, RabbitMQ, Jenkins, Photoshop",0.0444397226520456
"FastAPI, Kafka, Jenkins, GCP, Photoshop, Bash, Linux, Cypress","Ansible, Cypress, Selenium, Kubernetes, Elasticsearch",0.3594474111930017
"Figma, Power BI, Git, Linux, Azure, GCP","MongoDB, GitLab, Figma, Azure, Power BI, MySQL",0.362187944314367
"GitHub, Illustrator, AWS, Git, Tableau","Kubernetes, PyTorch, Bash, Git, Docker, Selenium, MongoDB",0.19137434826167515
"NodeJS, Docker, Illustrator, Cypress, Ansible, Azure","PostgreSQL, GitHub, FastAPI, Flask, GitLab, MongoDB, Illustrator",0.1704877801908522
"RabbitMQ, Docker, GCP, Selenium","Elasticsearch, Photoshop, MongoDB, Kubernetes, Django, Tableau",0.1327491080578205
"GCP, Illustrator, PostgreSQL, RabbitMQ, Angular, MongoDB, Jenkins, PyTorch","Tableau, Elasticsearch, Redis, TensorFlow, MySQL, PostgreSQL, PyTorch, Terraform",0.3618243456569811
"Illustrator, MongoDB, Ansible, PostgreSQL, Flask, Cypress, TensorFlow","Figma, Tableau, Selenium, Flask, MongoDB, Terraform, Kafka, GitLab",0.4995099166622247
"NodeJS, Photoshop, Ansible, Figma","Azure, Linux, Docker, TensorFlow, MongoDB, GitLab",0.4070668356117999
"GitHub, Illustrator, Bash, VueJS, Tableau","VueJS, Spring Boot, Power BI, Docker, Canva, Terraform",0.1884081585289209
"NodeJS, RabbitMQ, Cypress, Terraform, Photoshop","MongoDB, MySQL, Jenkins, Spring Boot, TensorFlow",0.15161723623765108
"Figma, Azure, Redis, Django, Selenium, RabbitMQ, FastAPI, PyTorch","PyTorch, VueJS, ReactJS, Jenkins, Azure, FastAPI, Flask",0.10998555436088095
"Tableau, TensorFlow, Selenium, Ansible, ReactJS, Kafka","PyTorch, Angular, GitLab, MongoDB, Linux, Git, Figma, Illustrator",0.15851807158440348
"Flask, MongoDB, Kubernetes, Cypress, VueJS","AWS, Terraform, Angular, Linux, GitHub, Git, Docker",0.18125883757958516
"TensorFlow, Redis, Canva, Ansible","Kafka, Cypress, PostgreSQL, Photoshop",0.18562602279619095
"FastAPI, Kubernetes, Elasticsearch, Ansible, Cypress, MySQL, Figma, TensorFlow","Flask, PostgreSQL, Jenkins, Docker, Ansible, Selenium, Django, Linux",0.5274366281263991
"GCP, VueJS, Figma, Flask, Redis, PostgreSQL","Terraform, Angular, VueJS, Figma, FastAPI, Flask, Bash, Azure",0.5283688085467731
"GitHub, Git, GitLab, Selenium","NodeJS, Redis, Selenium, Angular, GitLab, GitHub, ReactJS, PostgreSQL",0.2667756051167089
"Tableau, Jenkins, Selenium, RabbitMQ, Illustrator, AWS","Git, ReactJS, PyTorch, MongoDB, Illustrator",0.5484108897613249
"Django, GitLab, Cypress, AWS","Angular, MySQL, GitLab, Illustrator",0.18237177051589898
"Linux, Angular, Figma, Photoshop, Tableau, GitHub, Jenkins, RabbitMQ","Figma, Photoshop, Terraform, Git, GitLab, FastAPI, Cypress",0.14511254934527518
"Elasticsearch, Illustrator, Terraform, AWS, GCP","Illustrator, MongoDB, Elasticsearch, Cypress",0.48608679948568656
"ReactJS, Power BI, Redis, Docker, Canva","Redis, MongoDB, Bash, Linux, VueJS, Azure, GitLab, Tableau",0.27466598254131774
"PyTorch, MongoDB, Tableau, Terraform","TensorFlow, Power BI, Ansible, Kubernetes",0.5230772402404131
"Elasticsearch, NodeJS, TensorFlow, Flask, Tableau, Canva, Illustrator","Tableau, Cypress, VueJS, TensorFlow, Bash, Elasticsearch, FastAPI, ReactJS",0.5131455774506322
"Spring Boot, MongoDB, Figma, Redis, TensorFlow, Azure, Git, Power BI","GitHub, Jenkins, Cypress, Azure, FastAPI, Git, TensorFlow",0.2040592283250285
"FastAPI, MySQL, Django, Illustrator, Terraform, Git, MongoDB, Ansible","AWS, MySQL, Linux, PyTorch, Redis",0.28461621440413315
"TensorFlow, Redis, Figma, Git, Angular, Terraform","FastAPI, Kafka, NodeJS, Ansible, Azure, PyTorch, TensorFlow, Illustrator",0.4972492278886532
"Git, Jenkins, PostgreSQL, Elasticsearch","Redis, Git, Azure, RabbitMQ, FastAPI",0.14582379259239958
"Docker, GitLab, GCP, FastAPI, Power BI, MongoDB, Jenkins, Git","Canva, Django, ReactJS, PyTorch, Selenium, Figma",0.15135746321631
"Illustrator, MySQL, Angular, GCP, Cypress, Terraform, AWS, Ansible","Canva, Spring Boot, Selenium, Azure, Terraform",0.18081762778123964
"GCP, MySQL, Angular, Illustrator, RabbitMQ, Kafka, Tableau","Azure, GCP, Cypress, Django",0.09778136115454672
"Bash, Kubernetes, Angular, Redis, Tableau, Jenkins, VueJS, Canva","Photoshop, PostgreSQL, Selenium, Flask",0.5755119310399386
"ReactJS, Azure, Figma, PyTorch, Power BI, Bash, Selenium, GCP","Terraform, Redis, Kubernetes, Figma, Ansible, AWS, Selenium, Elasticsearch",0.13771981521401078
"GitLab, RabbitMQ, Linux, Git, Redis","GCP, Django, Photoshop, Flask, Azure, Kafka, Power BI",0.5732263954588481
"RabbitMQ, MySQL, Git, Kafka, Angular, Ansible, Jenkins","PyTorch, MySQL, Flask, MongoDB, Git, Cypress, Figma, Ansible",0.5084190631698664
"PostgreSQL, Flask, GitHub, Azure, GitLab, Power BI","RabbitMQ, Git, VueJS, Docker, GitHub, TensorFlow",0.42073500167079536
"Tableau, Selenium, Canva, Angular, Illustrator","MySQL, Canva, FastAPI, PostgreSQL, Redis, RabbitMQ, GitLab, Power BI",0.20739750774020882
"Kubernetes, PyTorch, GitHub, PostgreSQL, Canva, GitLab, FastAPI, TensorFlow","Canva, Git, GitHub, Figma",0.3948525506374227
"Elasticsearch, Selenium, Angular, Spring Boot","Cypress, RabbitMQ, Ansible, GCP, PostgreSQL",0.14251969774743006
"Bash, Linux, AWS, Jenkins","Azure, Git, Bash, NodeJS",0.19135173492632404
"ReactJS, RabbitMQ, AWS, Django, GitLab, Flask","PostgreSQL, Selenium, Power BI, Jenkins, Kubernetes, AWS, Angular",0.4299287384896865
"Power BI, MongoDB, Elasticsearch, Django, Terraform, Figma, Tableau, Ansible","PyTorch, Elasticsearch, Angular, RabbitMQ, PostgreSQL, Ansible, Tableau, GitHub",0.1640179897868258
"GitLab, Tableau, RabbitMQ, Kafka, Illustrator","TensorFlow, Elasticsearch, Django, Cypress, PyTorch",0.22118952229908934
"FastAPI, Illustrator, MySQL, Angular, Elasticsearch, Kafka","Tableau, Ansible, Spring Boot, Kafka, GitLab, Canva, GCP, PostgreSQL",0.3918992345711884
"NodeJS, TensorFlow, MySQL, Ansible, Tableau, Elasticsearch","Jenkins, NodeJS, Photoshop, Azure, Docker",0.11216560962000735
"VueJS, Flask, Power BI, PyTorch, GitHub, Elasticsearch, ReactJS, RabbitMQ","Docker, Illustrator, GitHub, MySQL, Angular, Elasticsearch, TensorFlow",0.19529356210157003
"Flask, MySQL, Illustrator, GitLab","Flask, Terraform, Power BI, Illustrator, VueJS, Photoshop, Redis, GCP",0.26683809354267074
"GitHub, Canva, Git, PyTorch, Jenkins, VueJS, TensorFlow","Elasticsearch, Ansible, TensorFlow, Git",0.18994292421292766
"MySQL, Docker, Azure, FastAPI, TensorFlow, Power BI, Spring Boot","TensorFlow, ReactJS, GitLab, Spring Boot, Cypress, FastAPI",0.2449375923036779
"Elasticsearch, Terraform, Tableau, Power BI, Canva, RabbitMQ, Figma","Django, Power BI, GitLab, Ansible, Terraform, Tableau",0.17947012987944494
"Elasticsearch, Azure, Angular, Kafka, MySQL, Canva","MongoDB, Elasticsearch, Kafka, Cypress, Kubernetes",0.15296856566832315
