resume_edu,jd_edu,expected_match
Bachelor of Journalism,Bachelors of Journalism,True
Bachelor of Oceanography,Bachelors of Oceanography,True
Bachelor of Education,Bachelors of Education,True
Bachelor of Pharmacy,B.Sc of Pharmacy,True
Bachelor of Aerospace Engineering,B.Tech of Aerospace Engineering,True
Bachelor of Criminal Justice,Bachelor's of Criminal Justice,True
Bachelor of Biomedical Engineering,Bachelors of Biomedical Engineering,True
Bachelor of Aerospace Engineering,Bachelors of Aerospace Engineering,True
Bachelor of Commerce,Bachelors of Commerce,True
Bachelor of Agricultural Science,bachelor's of agricultural science,True
Bachelor of Anthropology,Bachelor's of Anthropology,True
Master of Management Studies,Masters of Management Studies,True
Bachelor of Engineering in Electrical Engineering,B.Sc of Engineering in Electrical Engineering,True
Bachelor of Performing Arts,Bachelors of Performing Arts,True
Bachelor of Arts in History,Bachelors of Arts in History,True
Bachelor of Theology,Bachelor's of Theology,True
Bachelor of Law (LLB),B.Sc of Law (LLB),True
Bachelor of Aerospace Engineering,Bachelors of Aerospace Engineering,True
Bachelor of Journalism,Bachelor's of Journalism,True
Bachelor of Biomedical Engineering,Bachelors of Biomedical Engineering,True
Bachelor of Biomedical Engineering,Bachelors of Biomedical Engineering,True
Bachelor of Engineering in Mechanical Engineering,bachelor's of engineering in mechanical engineering,True
Bachelor of Anthropology,B.Sc of Anthropology,True
Bachelor of Music,B.Tech of Music,True
Bachelor of Applied Science,Bachelors of Applied Science,True
Bachelor of Software Engineering,B.Tech of Software Engineering,True
Bachelor of Pharmacy,Bachelors of Pharmacy,True
Master of Engineering in Computer Networks,Master's of Engineering in Computer Networks,True
Bachelor of Hotel Management,B.Sc of Hotel Management,True
Bachelor of Laws and Arts,bachelor's of laws and arts,True
Bachelor of Psychology,Bachelor's of Psychology,True
Bachelor of Pharmacy,B.Sc of Pharmacy,True
Bachelor of Hotel Management,B.Sc of Hotel Management,True
Bachelor of Social Work,Bachelor's of Social Work,True
Bachelor of Physical Education,Bachelor's of Physical Education,True
Master of Management Studies,M.Sc of Management Studies,True
Bachelor of Law (LLB),bachelors of law (llb),True
Bachelor of Science in Information Technology,Bachelors of Science in Information Technology,True
Bachelor of Biomedical Engineering,Bachelor's of Biomedical Engineering,True
Master of Science in Data Analytics,M.Tech of Science in Data Analytics,True
Doctor of Medicine,Doctorate of Medicine,True
Bachelor of Engineering in Electrical Engineering,bachelor's of engineering in electrical engineering,True
Bachelor of Environmental Science,B.Sc of Environmental Science,True
Doctor of Philosophy in Physics,phd of philosophy in physics,True
Master of Computer Applications,M.Sc of Computer Applications,True
Bachelor of Architecture,Bachelor's of Architecture,True
Bachelor of Education,B.Tech of Education,True
Bachelor of Business Administration,B.Sc of Business Administration,True
Bachelor of Psychology,Bachelors of Psychology,True
Bachelor of Biomedical Engineering,b.sc of biomedical engineering,True
Bachelor of Arts in Political Science,B.Sc of Arts in Political Science,True
Bachelor of Science in Information Technology,Bachelors of Science in Information Technology,True
Master of Financial Engineering,M.Sc of Financial Engineering,True
Bachelor of Agricultural Science,Bachelor's of Agricultural Science,True
Bachelor of Data Science,Bachelor's of Data Science,True
Bachelor of Applied Science,B.Tech of Applied Science,True
