resume_skills,jd_skills,label
"Work Ethic, Stress Management, Empathy, Communication, Patience, Active Listening","Public Speaking, Active Listening, Adaptability",0.5475715168317159
"Mentorship, Critical Thinking, Teamwork, Confidence, Conflict Resolution, Interpersonal Skills","Creativity, Patience, Communication, Public Speaking, Time Management",0.4488312284089625
"Active Listening, Creativity, Team Collaboration, Mentorship","Mentorship, Communication, Conflict Resolution, Problem Solving, Confidence",0.5038539840452947
"Public Speaking, Creativity, Adaptability, Analytical Thinking","Creativity, Negotiation, Leadership, Patience, Adaptability, Coaching",0.45319526922153797
"Work Ethic, Active Listening, Critical Thinking, Interpersonal Skills","Active Listening, Adaptability, Mentorship, Effective Communication",0.1919878169375917
"Work Ethic, Time Management, Effective Communication, Communication","Analytical Thinking, Coaching, Patience, Networking",0.2731066222047364
"Team Collaboration, Negotiation, Coaching, Communication, Networking","Problem Solving, Collaboration, Interpersonal Skills, Time Management",0.1939794268867662
"Emotional Intelligence, Conflict Resolution, Time Management, Problem Solving","Critical Thinking, Emotional Intelligence, Mentorship, Team Collaboration, Communication, Coaching",0.5781019269509448
"Networking, Teamwork, Effective Communication, Leadership","Problem Solving, Mentorship, Active Listening",0.5881854049593974
"Time Management, Empathy, Team Collaboration, Decision Making, Effective Communication, Collaboration","Empathy, Teamwork, Emotional Intelligence, Public Speaking, Negotiation",0.2923274139179425
"Analytical Thinking, Emotional Intelligence, Time Management, Creativity, Negotiation","Coaching, Empathy, Analytical Thinking, Public Speaking, Confidence, Negotiation",0.5014167282730341
"Patience, Work Ethic, Problem Solving, Creativity, Empathy","Stress Management, Adaptability, Analytical Thinking, Networking",0.169290212928145
"Time Management, Stress Management, Networking","Creativity, Critical Thinking, Communication, Leadership, Effective Communication, Active Listening",0.42660308370366695
"Patience, Emotional Intelligence, Empathy, Stress Management","Public Speaking, Mentorship, Work Ethic, Emotional Intelligence, Collaboration",0.5535361411135931
"Creativity, Coaching, Critical Thinking, Collaboration","Teamwork, Interpersonal Skills, Coaching",0.3021082452224458
"Networking, Effective Communication, Creativity, Emotional Intelligence, Active Listening, Work Ethic","Confidence, Problem Solving, Negotiation, Interpersonal Skills",0.12674224086726707
"Emotional Intelligence, Active Listening, Time Management, Stress Management, Critical Thinking, Conflict Resolution","Time Management, Critical Thinking, Decision Making",0.44248866652448976
"Problem Solving, Adaptability, Decision Making, Effective Communication","Confidence, Communication, Team Collaboration, Patience",0.4639628874444509
"Collaboration, Teamwork, Confidence, Problem Solving, Networking, Mentorship","Creativity, Public Speaking, Collaboration, Coaching, Critical Thinking, Mentorship",0.24353457856704208
"Work Ethic, Networking, Adaptability, Analytical Thinking, Interpersonal Skills","Active Listening, Effective Communication, Communication, Networking, Mentorship",0.1886260200043519
"Team Collaboration, Coaching, Empathy, Emotional Intelligence, Public Speaking","Problem Solving, Emotional Intelligence, Conflict Resolution",0.2825923277713034
"Teamwork, Stress Management, Networking, Negotiation, Public Speaking, Conflict Resolution","Conflict Resolution, Active Listening, Emotional Intelligence, Work Ethic, Collaboration, Teamwork",0.29670164106755836
"Emotional Intelligence, Active Listening, Adaptability","Analytical Thinking, Networking, Stress Management, Creativity, Work Ethic",0.5055294558051431
"Problem Solving, Work Ethic, Mentorship","Communication, Patience, Critical Thinking, Interpersonal Skills",0.5693050753784792
"Adaptability, Work Ethic, Interpersonal Skills, Time Management, Analytical Thinking","Work Ethic, Analytical Thinking, Active Listening, Effective Communication",0.5096723778539145
"Creativity, Effective Communication, Coaching, Team Collaboration","Critical Thinking, Negotiation, Analytical Thinking, Collaboration",0.5384404703424028
"Work Ethic, Decision Making, Effective Communication, Patience","Coaching, Critical Thinking, Confidence",0.4639203911268358
"Interpersonal Skills, Negotiation, Adaptability, Time Management, Coaching","Negotiation, Empathy, Analytical Thinking, Stress Management, Patience, Active Listening",0.5711488470717544
"Emotional Intelligence, Work Ethic, Confidence","Analytical Thinking, Decision Making, Interpersonal Skills, Conflict Resolution",0.24687752154575088
"Confidence, Creativity, Stress Management","Effective Communication, Team Collaboration, Critical Thinking, Mentorship",0.5511552028215796
"Decision Making, Empathy, Teamwork, Conflict Resolution, Leadership, Time Management","Critical Thinking, Mentorship, Adaptability, Emotional Intelligence, Coaching, Patience",0.16819294651290473
"Patience, Analytical Thinking, Team Collaboration, Conflict Resolution, Emotional Intelligence","Creativity, Public Speaking, Negotiation, Stress Management",0.5045238439888027
"Critical Thinking, Creativity, Public Speaking, Conflict Resolution, Teamwork, Analytical Thinking","Conflict Resolution, Work Ethic, Interpersonal Skills, Emotional Intelligence, Decision Making, Creativity",0.5004643913162049
"Active Listening, Collaboration, Conflict Resolution, Negotiation, Leadership, Analytical Thinking","Public Speaking, Mentorship, Active Listening, Problem Solving",0.43902268396813837
"Coaching, Teamwork, Collaboration, Time Management, Effective Communication","Active Listening, Confidence, Critical Thinking, Effective Communication",0.41103097546304906
"Interpersonal Skills, Patience, Negotiation","Networking, Emotional Intelligence, Stress Management, Mentorship, Team Collaboration, Teamwork",0.4347613525262206
"Coaching, Communication, Analytical Thinking, Mentorship, Empathy","Effective Communication, Emotional Intelligence, Patience",0.2765008723646084
"Coaching, Confidence, Team Collaboration, Problem Solving, Active Listening","Creativity, Coaching, Effective Communication",0.19964847286137014
"Confidence, Emotional Intelligence, Team Collaboration, Conflict Resolution, Networking, Communication","Teamwork, Critical Thinking, Networking, Patience, Confidence",0.22753721460364323
"Coaching, Confidence, Patience","Conflict Resolution, Public Speaking, Patience, Interpersonal Skills, Communication",0.12651194205570773
"Coaching, Communication, Analytical Thinking, Public Speaking, Adaptability","Analytical Thinking, Adaptability, Stress Management, Collaboration",0.563345713599055
"Team Collaboration, Creativity, Confidence, Coaching, Teamwork, Public Speaking","Work Ethic, Team Collaboration, Public Speaking, Networking",0.557974833441848
"Empathy, Emotional Intelligence, Problem Solving","Collaboration, Leadership, Teamwork, Effective Communication, Active Listening",0.29275030516921297
"Emotional Intelligence, Time Management, Effective Communication, Active Listening","Mentorship, Collaboration, Teamwork, Problem Solving, Empathy, Time Management",0.2922549624034983
"Negotiation, Teamwork, Communication, Networking, Interpersonal Skills","Conflict Resolution, Patience, Decision Making, Stress Management, Team Collaboration, Analytical Thinking",0.48032347327863595
