Resume,TECHNICAL_SKILL,COMPANY_NAME,TOOL,EDUCATION,EXPERIENCE,DESIGNATION,LOCATION,LANGUAGE,SOFT_SKILL,PAY,CERTIFICATION
"Experienced Data Scientist, DevOps Engineer, Backend Developer, Software Engineer professional with expertise in Docker, AWS and hands-on experience with Slack, Jira, Salesforce. Holding Ph.D. in Data Science, Master's in Information Systems, Bachelor's in Computer Science with Entry level, 7+ years, Mid-Senior level, 3-5 years of work experience. Previously worked at IBM, Tesla, Google located in Seattle, WA, San Francisco, CA, New York, NY. Fluent in English, Spanish with strong Adaptability, Leadership, Problem-Solving, Teamwork. Certified in PMP Certification, Google Cloud Professional, Certified Scrum Master. Seeking new opportunities with an expected salary around $120k–$150k, $90k–$120k.","Docker, AWS","IBM, Tesla, Google","Slack, Jira, Salesforce","Ph.D. in Data Science, Master's in Information Systems, Bachelor's in Computer Science","Entry level, 7+ years, Mid-Senior level, 3-5 years","Data Scientist, DevOps Engineer, Backend Developer, Software Engineer","Seattle, WA, San Francisco, CA, New York, NY","English, Spanish","Adaptability, Leadership, Problem-Solving, Teamwork","$120k–$150k, $90k–$120k","PMP Certification, Google Cloud Professional, Certified Scrum Master"
"Experienced Data Scientist, Product Manager, DevOps Engineer professional with expertise in Machine Learning, Java, Docker and hands-on experience with Jira, Figma, GitHub, VS Code. Holding Master's in Information Systems, Bachelor's in Computer Science, Ph.D. in Data Science with 2+ years, Mid-Senior level of work experience. Previously worked at Google, Microsoft located in Boston, MA, Seattle, WA, Chicago, IL, Austin, TX. Fluent in German, French with strong Communication Skills, Teamwork, Adaptability. Certified in Certified Scrum Master, PMP Certification, AWS Certified Solutions Architect, Google Cloud Professional. Seeking new opportunities with an expected salary around $90k–$120k, $80k–$100k, $120k–$150k.","Machine Learning, Java, Docker","Google, Microsoft","Jira, Figma, GitHub, VS Code","Master's in Information Systems, Bachelor's in Computer Science, Ph.D. in Data Science","2+ years, Mid-Senior level","Data Scientist, Product Manager, DevOps Engineer","Boston, MA, Seattle, WA, Chicago, IL, Austin, TX","German, French","Communication Skills, Teamwork, Adaptability","$90k–$120k, $80k–$100k, $120k–$150k","Certified Scrum Master, PMP Certification, AWS Certified Solutions Architect, Google Cloud Professional"
"Experienced DevOps Engineer, Software Engineer professional with expertise in Machine Learning, TensorFlow and hands-on experience with Figma, Tableau. Holding Master's in Information Systems, Ph.D. in Data Science, Bachelor's in Computer Science with Mid-Senior level, 3-5 years, 5+ years, 2+ years of work experience. Previously worked at Netflix, Amazon, Apple located in New York, NY, San Francisco, CA. Fluent in English, French, German, Spanish with strong Communication Skills, Teamwork, Adaptability. Certified in Certified Scrum Master, Google Cloud Professional. Seeking new opportunities with an expected salary around $120k–$150k, $90k–$120k, $80k–$100k, $100k–$130k.","Machine Learning, TensorFlow","Netflix, Amazon, Apple","Figma, Tableau","Master's in Information Systems, Ph.D. in Data Science, Bachelor's in Computer Science","Mid-Senior level, 3-5 years, 5+ years, 2+ years","DevOps Engineer, Software Engineer","New York, NY, San Francisco, CA","English, French, German, Spanish","Communication Skills, Teamwork, Adaptability","$120k–$150k, $90k–$120k, $80k–$100k, $100k–$130k","Certified Scrum Master, Google Cloud Professional"
"Experienced Software Engineer, Backend Developer, Data Scientist, Product Manager professional with expertise in TensorFlow, Java, Docker, SQL and hands-on experience with VS Code, Tableau. Holding Ph.D. in Data Science, Master's in Information Systems with Mid-Senior level, 3-5 years, 5+ years, 2+ years of work experience. Previously worked at Netflix, Microsoft, Amazon located in New York, NY, Austin, TX. Fluent in Spanish, German, French with strong Teamwork, Communication Skills. Certified in Google Cloud Professional, AWS Certified Solutions Architect. Seeking new opportunities with an expected salary around $80k–$100k, $120k–$150k, $100k–$130k.","TensorFlow, Java, Docker, SQL","Netflix, Microsoft, Amazon","VS Code, Tableau","Ph.D. in Data Science, Master's in Information Systems","Mid-Senior level, 3-5 years, 5+ years, 2+ years","Software Engineer, Backend Developer, Data Scientist, Product Manager","New York, NY, Austin, TX","Spanish, German, French","Teamwork, Communication Skills","$80k–$100k, $120k–$150k, $100k–$130k","Google Cloud Professional, AWS Certified Solutions Architect"
"Experienced Product Manager, Backend Developer professional with expertise in TensorFlow, Machine Learning, AWS, SQL and hands-on experience with GitHub, VS Code, Tableau, Jira. Holding Ph.D. in Data Science, Master's in Information Systems with Mid-Senior level, 3-5 years of work experience. Previously worked at Google, Netflix located in Boston, MA, Seattle, WA, Austin, TX, Chicago, IL. Fluent in German, English, Spanish with strong Leadership, Problem-Solving, Adaptability. Certified in Certified Scrum Master, PMP Certification, AWS Certified Solutions Architect, Google Cloud Professional. Seeking new opportunities with an expected salary around $80k–$100k, $100k–$130k, $90k–$120k.","TensorFlow, Machine Learning, AWS, SQL","Google, Netflix","GitHub, VS Code, Tableau, Jira","Ph.D. in Data Science, Master's in Information Systems","Mid-Senior level, 3-5 years","Product Manager, Backend Developer","Boston, MA, Seattle, WA, Austin, TX, Chicago, IL","German, English, Spanish","Leadership, Problem-Solving, Adaptability","$80k–$100k, $100k–$130k, $90k–$120k","Certified Scrum Master, PMP Certification, AWS Certified Solutions Architect, Google Cloud Professional"
"Experienced Software Engineer, Product Manager, Backend Developer, Data Scientist professional with expertise in Docker, Kubernetes, TensorFlow, Java and hands-on experience with GitHub, Salesforce, Figma, Tableau. Holding Bachelor's in Computer Science, Ph.D. in Data Science, Master's in Information Systems with 7+ years, Entry level of work experience. Previously worked at Microsoft, Google located in San Francisco, CA, Seattle, WA, New York, NY, Chicago, IL. Fluent in French, German with strong Problem-Solving, Leadership, Teamwork, Communication Skills. Certified in Certified Scrum Master, AWS Certified Solutions Architect, PMP Certification. Seeking new opportunities with an expected salary around $120k–$150k, $90k–$120k, $100k–$130k, $80k–$100k.","Docker, Kubernetes, TensorFlow, Java","Microsoft, Google","GitHub, Salesforce, Figma, Tableau","Bachelor's in Computer Science, Ph.D. in Data Science, Master's in Information Systems","7+ years, Entry level","Software Engineer, Product Manager, Backend Developer, Data Scientist","San Francisco, CA, Seattle, WA, New York, NY, Chicago, IL","French, German","Problem-Solving, Leadership, Teamwork, Communication Skills","$120k–$150k, $90k–$120k, $100k–$130k, $80k–$100k","Certified Scrum Master, AWS Certified Solutions Architect, PMP Certification"
"Experienced DevOps Engineer, Backend Developer, Product Manager, Software Engineer professional with expertise in Python, Docker and hands-on experience with Figma, Tableau, Salesforce. Holding Bachelor's in Computer Science, Master's in Information Systems with 7+ years, Mid-Senior level, 5+ years, Entry level of work experience. Previously worked at Tesla, Google, Netflix, Apple located in San Francisco, CA, Boston, MA, Chicago, IL, New York, NY. Fluent in French, German, Spanish with strong Teamwork, Leadership. Certified in PMP Certification, Certified Scrum Master, Google Cloud Professional, AWS Certified Solutions Architect. Seeking new opportunities with an expected salary around $120k–$150k, $90k–$120k.","Python, Docker","Tesla, Google, Netflix, Apple","Figma, Tableau, Salesforce","Bachelor's in Computer Science, Master's in Information Systems","7+ years, Mid-Senior level, 5+ years, Entry level","DevOps Engineer, Backend Developer, Product Manager, Software Engineer","San Francisco, CA, Boston, MA, Chicago, IL, New York, NY","French, German, Spanish","Teamwork, Leadership","$120k–$150k, $90k–$120k","PMP Certification, Certified Scrum Master, Google Cloud Professional, AWS Certified Solutions Architect"
"Experienced Backend Developer, Software Engineer, Product Manager professional with expertise in Docker, Python and hands-on experience with VS Code, GitHub, Tableau, Salesforce. Holding Ph.D. in Data Science, Bachelor's in Computer Science, Master's in Information Systems with 2+ years, 5+ years, Mid-Senior level of work experience. Previously worked at IBM, Google, Apple, Microsoft located in Seattle, WA, San Francisco, CA, Austin, TX. Fluent in French, English with strong Adaptability, Communication Skills, Teamwork. Certified in AWS Certified Solutions Architect, Google Cloud Professional, PMP Certification, Certified Scrum Master. Seeking new opportunities with an expected salary around $80k–$100k, $90k–$120k, $100k–$130k, $120k–$150k.","Docker, Python","IBM, Google, Apple, Microsoft","VS Code, GitHub, Tableau, Salesforce","Ph.D. in Data Science, Bachelor's in Computer Science, Master's in Information Systems","2+ years, 5+ years, Mid-Senior level","Backend Developer, Software Engineer, Product Manager","Seattle, WA, San Francisco, CA, Austin, TX","French, English","Adaptability, Communication Skills, Teamwork","$80k–$100k, $90k–$120k, $100k–$130k, $120k–$150k","AWS Certified Solutions Architect, Google Cloud Professional, PMP Certification, Certified Scrum Master"
"Experienced DevOps Engineer, Software Engineer professional with expertise in TensorFlow, AWS, Kubernetes and hands-on experience with Jira, Figma, Salesforce, Slack. Holding Ph.D. in Data Science, Bachelor's in Computer Science, Master's in Information Systems with 3-5 years, Mid-Senior level, 7+ years of work experience. Previously worked at Amazon, Microsoft located in New York, NY, Seattle, WA. Fluent in German, French with strong Leadership, Teamwork. Certified in PMP Certification, AWS Certified Solutions Architect, Google Cloud Professional. Seeking new opportunities with an expected salary around $120k–$150k, $80k–$100k, $100k–$130k, $90k–$120k.","TensorFlow, AWS, Kubernetes","Amazon, Microsoft","Jira, Figma, Salesforce, Slack","Ph.D. in Data Science, Bachelor's in Computer Science, Master's in Information Systems","3-5 years, Mid-Senior level, 7+ years","DevOps Engineer, Software Engineer","New York, NY, Seattle, WA","German, French","Leadership, Teamwork","$120k–$150k, $80k–$100k, $100k–$130k, $90k–$120k","PMP Certification, AWS Certified Solutions Architect, Google Cloud Professional"
"Experienced Data Scientist, DevOps Engineer professional with expertise in Machine Learning, AWS and hands-on experience with GitHub, VS Code, Slack. Holding Bachelor's in Computer Science, Master's in Information Systems with 5+ years, 7+ years, Entry level, 2+ years of work experience. Previously worked at Microsoft, Facebook, Apple, Amazon located in Chicago, IL, San Francisco, CA, New York, NY, Seattle, WA. Fluent in English, French with strong Leadership, Problem-Solving, Adaptability, Teamwork. Certified in Google Cloud Professional, PMP Certification, AWS Certified Solutions Architect. Seeking new opportunities with an expected salary around $80k–$100k, $90k–$120k.","Machine Learning, AWS","Microsoft, Facebook, Apple, Amazon","GitHub, VS Code, Slack","Bachelor's in Computer Science, Master's in Information Systems","5+ years, 7+ years, Entry level, 2+ years","Data Scientist, DevOps Engineer","Chicago, IL, San Francisco, CA, New York, NY, Seattle, WA","English, French","Leadership, Problem-Solving, Adaptability, Teamwork","$80k–$100k, $90k–$120k","Google Cloud Professional, PMP Certification, AWS Certified Solutions Architect"
